Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Row Type,Units On Hand,Notes
tgs-water-canvas,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WATER-CANVAS/angle3.jpg,2,Magical Water Canvas Reusable Doodle Mat with Pen,,,,,active_unimaged,,
tgs-water-canvas,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WATER-CANVAS/angle4.jpg,3,Magical Water Canvas Reusable Doodle Mat with Pen,,,,,active_unimaged,,
tgs-wd-busy-board,Wooden Busy Board with Blue Strap for Babies 36m+,"<p>This wooden busy board is designed for babies 36 months and older. It features a yellow and black striped panel, multiple interactive elements including buttons and knobs, and a blue strap for hanging. The board is made of wood and is intended for sensory and motor skill development.</p><ul><li>Made of wood</li><li>Features interactive elements</li><li>Includes a blue strap</li><li>Intended for babies 36m+</li><li>Has multiple moving parts</li></ul><p><strong>What's included:</strong></p><ul><li>Wooden busy board</li><li>Blue strap</li></ul>",The Toy Gift Shop,,Baby & Toddler Toys,"age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Activity Toys",FALSE,Title,Default Title,TGS-WD-BUSY-BOARD,,shopify,1,deny,manual,2250.00,,TRUE,TRUE,output_pending/TGS-WD-BUSY-BOARD/angle2.jpg,1,Wooden Busy Board with Blue Strap for Babies 36m+,FALSE,Wooden Busy Board in Pakistan | Toy Gift Shop,"Wooden busy board for babies 36 months and older with interactive buttons, knobs, and a blue strap for sensory and motor skill development.",draft,active_unimaged,1,Priced & stocked; waiting on a generated CatalogHero/Lifestyle image.
tgs-wd-busy-board,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WD-BUSY-BOARD/angle3.jpg,2,Wooden Busy Board with Blue Strap for Babies 36m+,,,,,active_unimaged,,
tgs-wd-busy-board,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WD-BUSY-BOARD/angle4.jpg,3,Wooden Busy Board with Blue Strap for Babies 36m+,,,,,active_unimaged,,
tgs-avengers-mag-drawing,Avengers Age of Ultron Magnetic Drawing Board with 380 Ball Pops,"<p>An Avengers Age of Ultron magnetic drawing board, called a Magpad on the box: a lattice board of 380 ball pops. Drag the magnetic stylus over the surface and the beads pop up to draw letters, shapes and pictures; wipe them back with a fingertip. The box gives the size as 218 x 175 x 15 mm. Ages 3+.</p><ul><li>380 ball pops in the lattice board</li><li>Magnetic stylus draws letters, shapes and pictures</li><li>Erase with a fingertip</li><li>Size 218 x 175 x 15 mm as printed on the box</li><li>Ages 3+</li></ul><p><strong>What's included:</strong></p><ul><li>Magnetic drawing board</li><li>Magnetic stylus</li></ul>",The Toy Gift Shop,,"Arts, Crafts & Creative Toys","avengers, magnetic, drawing, art, crafts, children, 3+, toy, board",FALSE,Title,Default Title,TGS-AVENGERS-MAG-DRAWING,,shopify,0,deny,manual,2250.00,,TRUE,TRUE,output_pending/TGS-AVENGERS-MAG-DRAWING/angle2.jpg,1,Avengers Age of Ultron Magnetic Drawing Board with 380 Ball Pops,FALSE,Avengers Magnetic Drawing Board with 380 Ball Pops,"Avengers Age of Ultron magnetic drawing board with 380 ball pops and a magnetic stylus. Draw, erase with a fingertip. Ages 3+.",draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/AVENGERS-AGE-OF-ULTRON-MAGNETIC-DRAWING-BOARD
tgs-avengers-mag-drawing,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AVENGERS-MAG-DRAWING/angle3.jpg,2,Avengers Age of Ultron Magnetic Drawing Board with 380 Ball Pops,,,,,content_policy,,
tgs-avengers-mag-drawing,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AVENGERS-MAG-DRAWING/angle4.jpg,3,Avengers Age of Ultron Magnetic Drawing Board with 380 Ball Pops,,,,,content_policy,,
tgs-cars-rc-radio,Cars RC Radio Control Car – Dinoco 51,"<p>A Cars radio control car in the yellow Dinoco 51 livery, with a steering-wheel remote. The box is Cars 3 branded, ages 3+. Comes with AA batteries and a USB charging cable.</p><ul><li>Yellow Dinoco 51 race car</li><li>Steering-wheel remote control</li><li>AA batteries and USB cable included</li><li>Ages 3+</li></ul><p><strong>What's included:</strong></p><ul><li>Yellow radio control car</li><li>Red and black remote control</li><li>4 AA batteries</li><li>USB charging cable</li></ul>",The Toy Gift Shop,,RC & Remote Control Toys,"rc car, cars toy, remote control, toy vehicle, childrens toys, cars movie, radio control, age 3, plastic toy",FALSE,Title,Default Title,TGS-CARS-RC-RADIO,,shopify,0,deny,manual,4250.00,,TRUE,TRUE,output_pending/TGS-CARS-RC-RADIO/angle2.jpg,1,Cars RC Radio Control Car – Dinoco 51,FALSE,Cars Rc Radio Control Car Remote Toy,"Radio control car based on Cars movie. Includes remote, batteries, and USB cable. Ages 3+. Plastic toy vehicle for play.",draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/CARS-DINOCO-RC-RADIO-CONTROL-CAR
tgs-cars-rc-radio,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CARS-RC-RADIO/angle3.jpg,2,Cars RC Radio Control Car – Dinoco 51,,,,,content_policy,,
tgs-cars-rc-radio,,,,,,,,,,,,,,,,,,,,output_pending/TGS-CARS-RC-RADIO/front.jpg,3,Cars RC Radio Control Car – Dinoco 51,,,,,content_policy,,
tgs-me-slide,Despicable Me 2 Minion Slide Toy,"<p>A Despicable Me 2 slide toy with light and sound: a yellow base with a white staircase and a red curving slide track, plus little Minion figures to send down the slide.</p><ul><li>Light and sound</li><li>Yellow base, white staircase and red slide track</li><li>Comes with small Minion figures</li><li>Despicable Me 2 box design</li><li>Ages 3+</li></ul><p><strong>What's included:</strong></p><ul><li>Slide base with staircase and track</li><li>Minion figures</li></ul>",The Toy Gift Shop,,Novelty & Fun Toys,"minion, despicable me, slide toy, sports toy, childrens toys, 3 years old, indoor play, plastic, minions",FALSE,Title,Default Title,TGS-ME-SLIDE,,shopify,0,deny,manual,1450.00,,TRUE,TRUE,output_pending/TGS-ME-SLIDE/angle2.jpg,1,Despicable Me 2 Minion Slide Toy,FALSE,Despicable Me Minion Slide Toy for Kids,"Despicable Me 2 Minion slide toy with light and sound: staircase, red slide track and little Minion figures. Ages 3+.",draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/DESPICABLE-ME-2-MINION-SLIDE-TOY
tgs-me-slide,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ME-SLIDE/angle3.jpg,2,Despicable Me 2 Minion Slide Toy,,,,,content_policy,,
tgs-me-slide,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ME-SLIDE/angle4.jpg,3,Despicable Me 2 Minion Slide Toy,,,,,content_policy,,
tgs-justice-league-figs,Justice League Chibi Figure Set of 4,"<p>A set of four chibi-style action figures featuring Justice League characters. Each figure stands on a circular base. The figures are made of hard plastic. The packaging indicates they are for ages 3 and up. The figures are designed for display and play.</p><ul><li>Made of hard plastic</li><li>Each figure stands about 3 inches tall</li><li>Includes 4 figures: Batman, Superman, The Flash, and The Joker</li><li>Figures come with circular bases</li><li>Intended for ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>4 chibi-style action figures (Batman, Superman, The Flash, The Joker)</li><li>4 circular plastic bases</li><li>1 cardboard packaging box</li></ul>",The Toy Gift Shop,,Action Figures & Characters,"justice league, chibi figures, action figures, superman, batman, the flash, the joker, collectible toys, ages 3+",FALSE,Title,Default Title,TGS-JUSTICE-LEAGUE-FIGS,,shopify,0,deny,manual,2800.00,,TRUE,TRUE,output_pending/TGS-JUSTICE-LEAGUE-FIGS/angle2.jpg,1,Justice League Chibi Figure Set of 4,FALSE,Justice League Chibi Figures Set of 4,"Collect the Justice League in chibi style! This set includes 4 action figures: Batman, Superman, The Flash, and The Joker. Made of hard plastic, for ages 3+.",draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/JUSTICE-LEAGUE-FIGURE-SET
tgs-justice-league-figs,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JUSTICE-LEAGUE-FIGS/angle3.jpg,2,Justice League Chibi Figure Set of 4,,,,,content_policy,,
tgs-justice-league-figs,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JUSTICE-LEAGUE-FIGS/angle4.jpg,3,Justice League Chibi Figure Set of 4,,,,,content_policy,,
tgs-deform-robot-car,Two in One Deform Robot Car with Lightning McQueen Design,"<p>A 2-in-1 deform toy: a red race car with big cartoon eyes and a smile that transforms into a robot. It is styled after Lightning McQueen, the red race car from the Cars films.</p><ul><li>Red race car with cartoon eyes and smile</li><li>Transforms from car into robot</li><li>One toy, two ways to play</li><li>Styled after Lightning McQueen from Cars</li></ul><p><strong>What's included:</strong></p><ul><li>1 x 2-in-1 transforming robot car</li></ul>",The Toy Gift Shop,,Robots & Electronic Toys,"transforming car, robot car, deform car, race car, lightning mcqueen, cars",FALSE,Title,Default Title,TGS-DEFORM-ROBOT-CAR,,shopify,0,deny,manual,2850.00,,TRUE,TRUE,output_pending/TGS-DEFORM-ROBOT-CAR/angle2.jpg,1,Two in One Deform Robot Car with Lightning McQueen Design,FALSE,Two in One Deform Robot Car with Lightning McQueen Design,2-in-1 deform robot car styled after Lightning McQueen: a red cartoon race car that transforms into a robot. Ages 3+.,draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/TWO-IN-ONE-DEFORM-ROBOT-CAR
tgs-deform-robot-car,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DEFORM-ROBOT-CAR/angle3.jpg,2,Two in One Deform Robot Car with Lightning McQueen Design,,,,,content_policy,,
tgs-deform-robot-car,,,,,,,,,,,,,,,,,,,,output_pending/TGS-DEFORM-ROBOT-CAR/angle4.jpg,3,Two in One Deform Robot Car with Lightning McQueen Design,,,,,content_policy,,
tgs-winnie-pooh,Winnie The Pooh Action Figure,<p>A Winnie the Pooh figure in a Mickey Mouse &amp; Friends window box. The box says his hands and feet can move. Ages 3+.</p><ul><li>Winnie the Pooh in his red top</li><li>Hands and feet can move</li><li>Mickey Mouse &amp; Friends box</li><li>Ages 3+</li></ul><p><strong>What's included:</strong></p><ul><li>1 Winnie the Pooh figure</li></ul>,The Toy Gift Shop,,Action Figures & Characters,"winnie the pooh, action figure, mickey mouse, friends, toy, children, 3 years, movable hands, hard plastic",FALSE,Title,Default Title,TGS-WINNIE-POOH,,shopify,0,deny,manual,3250.00,,TRUE,TRUE,output_pending/TGS-WINNIE-POOH/angle2.jpg,1,Winnie The Pooh Action Figure,FALSE,Winnie The Pooh Action Figure - Mickey Mouse & Friends,Winnie The Pooh action figure with movable hands and feet. Age 3+. Hard plastic. Includes 1 figure. Packaged with clear plastic bubble and pink box.,draft,content_policy,unknown,Fully priced/stocked; fal/OpenAI content-policy block (licensed character) -- needs a manual image. Folder: backlog-products-image-failed/WINNIE-THE-POOH-ACTION-FIGURE
tgs-winnie-pooh,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WINNIE-POOH/angle3.jpg,2,Winnie The Pooh Action Figure,,,,,content_policy,,
tgs-winnie-pooh,,,,,,,,,,,,,,,,,,,,output_pending/TGS-WINNIE-POOH/angle4.jpg,3,Winnie The Pooh Action Figure,,,,,content_policy,,
tgs-elephant-figure,3-in-1 Walking Elephant Toy with Sound and Light,"<p>This toy elephant is battery-operated and walks on its own. It has sound and light features. It is made of hard plastic. It is designed for children ages 3 and up. The toy is part of an animal toy series.</p><ul><li>HARD PLASTIC
BODY</li><li>BATTERY-OPERATED
WALKING</li><li>SOUND AND LIGHT
FEATURES</li><li>FOR AGES 3+
RECOMMENDED</li><li>3X AA BATTERIES
INCLUDED</li></ul><p><strong>What's included:</strong></p><ul><li>1 x Walking Elephant Toy</li><li>3 x AA Batteries (included)</li><li>Battery Cover Tool (included)</li></ul>",The Toy Gift Shop,,Animal & Dinosaur Toys,"elephant, walking toy, animal toy, sound, light, battery operated, 3 in 1, kids toy, ages 3",FALSE,Title,Default Title,TGS-ELEPHANT-FIGURE,,shopify,0,deny,manual,1200.00,,TRUE,TRUE,output_pending/TGS-ELEPHANT-FIGURE/angle2.jpg,1,3-in-1 Walking Elephant Toy with Sound and Light,FALSE,3-in-1 Walking Elephant Toy with Sound and Light,Battery-operated walking elephant toy with sound and light features. Ages 3+. Includes 3 AA batteries.,draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/3-IN-1-WALKING-ELEPHANT-TOY
tgs-elephant-figure,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ELEPHANT-FIGURE/angle3.jpg,2,3-in-1 Walking Elephant Toy with Sound and Light,,,,,backlog_low_stock,,
tgs-elephant-figure,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ELEPHANT-FIGURE/angle4.jpg,3,3-in-1 Walking Elephant Toy with Sound and Light,,,,,backlog_low_stock,,
tgs-vita-50-drone,4DRC Vita-50 4-Axis Remote Control Drone with Controller,<p>This is a 4-axis remote control drone. It has a black and blue body with a silver nose. It is controlled by a black remote with two joysticks. The drone has four propellers. It is for children aged 14 and up as indicated on the box.</p><ul><li>Black and blue plastic body</li><li>4-axis drone with four propellers</li><li>Black remote control with two joysticks</li><li>Designed for children aged 14 and up</li><li>Includes drone and remote control</li></ul><p><strong>What's included:</strong></p><ul><li>Drone</li><li>Remote control</li></ul>,The Toy Gift Shop,,RC & Remote Control Toys,"drone, remote control, toy, children, 14+, 4-axis, controller, plastic, propellers",FALSE,Title,Default Title,TGS-VITA-50-DRONE,,shopify,0,deny,manual,5850.00,,TRUE,TRUE,output_pending/TGS-VITA-50-DRONE/angle2.jpg,1,4DRC Vita-50 4-Axis Remote Control Drone with Controller,FALSE,4DRC Vita-50 4-Axis Drone Remote Control Toy,4DRC Vita-50 4-Axis Remote Control Drone with Controller. For children aged 14 and up. Includes drone and remote control. Black and blue plastic body.,draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/4DRC-VITA-50-4-AXIS-REMOTE-CONTROL-DRONE
tgs-vita-50-drone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-VITA-50-DRONE/angle3.jpg,2,4DRC Vita-50 4-Axis Remote Control Drone with Controller,,,,,backlog_low_stock,,
tgs-vita-50-drone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-VITA-50-DRONE/front.jpg,3,4DRC Vita-50 4-Axis Remote Control Drone with Controller,,,,,backlog_low_stock,,
tgs-air-combat-fighter,Air Combat Fighter Jet Toy with Sound and Flashing Lights,<p>This is a toy jet fighter with a blue and white color scheme. It has flashing lights on top and makes sounds when activated. The toy moves forward when pushed. It is designed for children aged 3 and up. The packaging shows it is made of plastic.</p><ul><li>Made of plastic</li><li>Has flashing top lights</li><li>Makes sound when activated</li><li>Moves forward when pushed</li><li>Intended for children aged 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Air Combat Fighter Jet Toy</li><li>Product packaging</li></ul>,The Toy Gift Shop,,Cars & Vehicles,"air combat fighter, jet toy, plastic toy, flashing lights, sound toy, bump and go, children toys, 3+ age, airplane toy",FALSE,Title,Default Title,TGS-AIR-COMBAT-FIGHTER,,shopify,0,deny,manual,1400.00,,TRUE,TRUE,output_pending/TGS-AIR-COMBAT-FIGHTER/angle2.jpg,1,Air Combat Fighter Jet Toy with Sound and Flashing Lights,FALSE,Air Combat Fighter Jet Toy with Sound and Flashing Lights,"Air Combat Fighter Jet Toy with sound, flashing lights, and bump & go movement. Perfect for children aged 3 and up. Plastic construction.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/AIR-COMBAT-FIGHTER-JET-TOY
tgs-air-combat-fighter,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AIR-COMBAT-FIGHTER/angle3.jpg,2,Air Combat Fighter Jet Toy with Sound and Flashing Lights,,,,,backlog_low_stock,,
tgs-air-combat-fighter,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AIR-COMBAT-FIGHTER/angle4.jpg,3,Air Combat Fighter Jet Toy with Sound and Flashing Lights,,,,,backlog_low_stock,,
tgs-air-falcon-drone,Air Falcon Drone Air Racer 2-in-1 Flying Car,<p>This is a 2-in-1 toy that can drive on the ground and fly in the air. It has a blue car body with a metal frame and black wheels. It comes with a white remote control. The toy is for children aged 8 and up.</p><ul><li>BLUE CAR BODY WITH METAL FRAME</li><li>WHITE REMOTE CONTROL</li><li>BLACK WHEELS</li><li>2-IN-1 MODE: DRIVE AND FLY</li><li>FOR CHILDREN AGED 8 AND UP</li></ul><p><strong>What's included:</strong></p><ul><li>Air Falcon Drone Air Racer (blue car)</li><li>White remote control</li><li>Instruction manual</li></ul>,The Toy Gift Shop,,RC & Remote Control Toys,"drone, flying car, remote control, air racer, children, toy, 8 years, metal frame, remote control toy",FALSE,Title,Default Title,TGS-AIR-FALCON-DRONE,,shopify,0,deny,manual,7850.00,,TRUE,TRUE,output_pending/TGS-AIR-FALCON-DRONE/angle2.jpg,1,Air Falcon Drone Air Racer 2-in-1 Flying Car,FALSE,Air Falcon Drone Air Racer 2-in-1 Flying Car Toy,2-in-1 flying car toy that drives and flies. Includes remote control. For ages 8+. Metal frame and durable design.,draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/AIR-FALCON-DRONE-AIR-RACER-2-IN-1-FLYING-CAR
tgs-air-falcon-drone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AIR-FALCON-DRONE/angle3.jpg,2,Air Falcon Drone Air Racer 2-in-1 Flying Car,,,,,backlog_low_stock,,
tgs-air-falcon-drone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AIR-FALCON-DRONE/angle4.jpg,3,Air Falcon Drone Air Racer 2-in-1 Flying Car,,,,,backlog_low_stock,,
tgs-aks-74u-water,Aks-74U Electric Continuous Water Bomb Shooter Toy,<p>This is an electric water bomb shooter toy shaped like an AKS-74U rifle. It shoots water using a water bottle attached to the top. It requires batteries to operate and has a recoil linkage mechanism. It is designed for water play and is intended for ages 14 and up.</p><ul><li>Made of hard plastic</li><li>Includes a water bottle and USB charger</li><li>Has a recoil linkage mechanism</li><li>Requires batteries to operate</li><li>Intended for water play</li></ul><p><strong>What's included:</strong></p><ul><li>Water bomb shooter toy</li><li>Water bottle</li><li>USB charger</li><li>Battery</li></ul>,The Toy Gift Shop,,Water & Beach Toys,"water bomb shooter, electric water gun, ak-74u toy, water play, outdoor toy, 14+ ages, usb rechargeable, recoil linkage, water bottle",FALSE,Title,Default Title,TGS-AKS-74U-WATER,,shopify,0,deny,manual,4400.00,,TRUE,TRUE,output_pending/TGS-AKS-74U-WATER/angle2.jpg,1,Aks-74U Electric Continuous Water Bomb Shooter Toy,FALSE,Aks-74U Electric Water Bomb Shooter Toy,"Electric continuous water bomb shooter toy shaped like AKS-74U rifle. Includes water bottle, USB charger, and battery. For ages 14+.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/AKS-74U-ELECTRIC-WATER-BOMB-SHOOTER
tgs-aks-74u-water,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AKS-74U-WATER/angle3.jpg,2,Aks-74U Electric Continuous Water Bomb Shooter Toy,,,,,backlog_low_stock,,
tgs-aks-74u-water,,,,,,,,,,,,,,,,,,,,output_pending/TGS-AKS-74U-WATER/angle4.jpg,3,Aks-74U Electric Continuous Water Bomb Shooter Toy,,,,,backlog_low_stock,,
tgs-animal-piano-keys,Animal Piano Keyboard with Animal Sound Buttons and Recording Function,"<p>This toy piano has a white plastic body with a keyboard, colorful animal buttons, and sound effect controls. It includes recording and replay functions. The toy is designed for children 18 months and older. It plays melodies and animal sounds.</p><ul><li>White plastic body with black and white keys</li><li>Animal-shaped buttons for sound effects</li><li>Recording and replay function buttons</li><li>Volume and tempo control buttons</li><li>Designed for children 18 months and older</li></ul><p><strong>What's included:</strong></p><ul><li>Animal Piano Keyboard</li><li>Instruction Manual (not visible, but implied by packaging)</li><li>Battery (not visible, but implied by packaging)</li></ul>",The Toy Gift Shop,,Musical Toys,"animal piano, musical toy, children's piano, recording function, animal sounds, musical instruments, toy keyboard, 18 months, play and learn",FALSE,Title,Default Title,TGS-ANIMAL-PIANO-KEYS,,shopify,0,deny,manual,,,TRUE,TRUE,output_pending/TGS-ANIMAL-PIANO-KEYS/front.jpg,1,Animal Piano Keyboard with Animal Sound Buttons and Recording Function,FALSE,Animal Piano Keyboard with Animal Sounds and Recording,"Animal Piano Keyboard with animal sound buttons, recording function, and volume/tempo controls. Designed for children 18 months and older.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/ANIMAL-PIANO-KEYBOARD
tgs-animal-shaped-phone,Animal Shaped Educational Toy Phone for Ages 3+,<p>This toy phone is shaped like a yellow cat with a brown handset and buttons. It has a mobile traction rope and multifunctional buttons. The toy is designed for children ages 3 and up to play with.</p><ul><li>Made of hard plastic</li><li>Designed for children 3+ years old</li><li>Includes a mobile traction rope</li><li>Features multifunctional buttons</li><li>Includes a handset and base unit</li></ul><p><strong>What's included:</strong></p><ul><li>Animal shaped toy phone</li><li>Handset</li><li>Mobile traction rope</li></ul>,The Toy Gift Shop,,Baby & Toddler Toys,"toy phone, animal shaped, educational toy, baby activity toy, 3+ age, multifunctional buttons, mobile traction rope, hard plastic, cute cat",FALSE,Title,Default Title,TGS-ANIMAL-SHAPED-PHONE,,shopify,0,deny,manual,,,TRUE,TRUE,output_pending/TGS-ANIMAL-SHAPED-PHONE/angle2.jpg,1,Animal Shaped Educational Toy Phone for Ages 3+,FALSE,Animal Shaped Educational Toy Phone for Ages 3+,"Animal Shaped Educational Toy Phone for Ages 3+. Features multifunctional buttons, mobile traction rope, and cute cat design. Made of hard plastic. Perfect for early learning and play.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/ANIMAL-SHAPED-EDUCATIONAL-TOY-PHONE
tgs-animal-shaped-phone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ANIMAL-SHAPED-PHONE/angle3.jpg,2,Animal Shaped Educational Toy Phone for Ages 3+,,,,,backlog_low_stock,,
tgs-animal-shaped-phone,,,,,,,,,,,,,,,,,,,,output_pending/TGS-ANIMAL-SHAPED-PHONE/angle4.jpg,3,Animal Shaped Educational Toy Phone for Ages 3+,,,,,backlog_low_stock,,
tgs-ball-catching-claw,Ball Catching Claw Game with Digital Timer and Steering Wheel,<p>This is a ball-catching arcade game with a digital timer and a steering wheel. It is made of plastic with colorful balls. The game has a digital display showing a score. It is for children aged 3 and up. The game is designed for parent-child interaction and includes a light feature.</p><ul><li>Plastic construction with colorful balls</li><li>Digital timer display</li><li>Steering wheel for controlling the claw</li><li>Includes 30 colorful balls and 2 batteries</li><li>For children aged 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Ball Catching Claw Game</li><li>30 colorful balls</li><li>2 batteries</li><li>Battery connector wires</li></ul>,The Toy Gift Shop,,Robots & Electronic Toys,"ball catching, claw game, arcade game, children toys, digital timer, steering wheel, parent child, ages 3, plastic toy",FALSE,Title,Default Title,TGS-BALL-CATCHING-CLAW,,shopify,0,deny,manual,8500.00,,TRUE,TRUE,output_pending/TGS-BALL-CATCHING-CLAW/angle2.jpg,1,Ball Catching Claw Game with Digital Timer and Steering Wheel,FALSE,Ball Catching Claw Game with Timer and Steering Wheel,"Ball Catching Claw Game with digital timer, steering wheel, and 30 colorful balls for ages 3+. Perfect for parent-child interaction.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/BALL-CATCHING-CLAW-GAME
tgs-ball-catching-claw,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BALL-CATCHING-CLAW/angle3.jpg,2,Ball Catching Claw Game with Digital Timer and Steering Wheel,,,,,backlog_low_stock,,
tgs-ball-catching-claw,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BALL-CATCHING-CLAW/angle4.jpg,3,Ball Catching Claw Game with Digital Timer and Steering Wheel,,,,,backlog_low_stock,,
tgs-baseball-sport,Baseball Sport Game Set with Bat and Balls,"<p>This toy baseball game set includes a launcher, a bat, and two balls. The launcher has a blue and teal plastic base and a mesh tube. The bat is blue plastic. The balls are white with stitched seams. It is designed for children to play baseball-style games.</p><ul><li>Plastic construction with blue and teal colors</li><li>Launcher has a mesh tube and a pedal</li><li>Includes one blue bat and two white balls</li><li>Intended for children ages 3 and up</li><li>Requires no batteries or power source</li></ul><p><strong>What's included:</strong></p><ul><li>Baseball Sport Game Set launcher</li><li>Blue plastic bat</li><li>Two white baseballs</li></ul>",The Toy Gift Shop,,Sports Toys,"baseball, toy, game, sports, children, ages 3, indoor, outdoor, launcher, bat, balls",FALSE,Title,Default Title,TGS-BASEBALL-SPORT,,shopify,0,deny,manual,4600.00,,TRUE,TRUE,output_pending/TGS-BASEBALL-SPORT/angle2.jpg,1,Baseball Sport Game Set with Bat and Balls,FALSE,Baseball Sport Game Set for Kids Ages 3+,"Baseball Sport Game Set with launcher, bat, and balls. Ages 3+. Plastic construction. Great for indoor or outdoor play.",draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/BASEBALL-SPORT-GAME-SET
tgs-baseball-sport,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BASEBALL-SPORT/angle3.jpg,2,Baseball Sport Game Set with Bat and Balls,,,,,backlog_low_stock,,
tgs-baseball-sport,,,,,,,,,,,,,,,,,,,,output_pending/TGS-BASEBALL-SPORT/angle4.jpg,3,Baseball Sport Game Set with Bat and Balls,,,,,backlog_low_stock,,
tgs-jump-o-rama,Bestway Jump-O-Rama Bouncer,"<p>This is a toy bouncer for children. It has a soft, inflatable surface. Children jump on it to bounce. It is designed for indoor play. The box shows children using it with an adult nearby.</p><ul><li>Inflatable material</li><li>1.70 m x 1.58 m x 1.27 m</li><li>Includes a bouncy surface</li><li>Intended for children 3+ years</li><li>For indoor use only</li></ul><p><strong>What's included:</strong></p><ul><li>Jump-O-Rama Bouncer inflatable unit</li></ul>",The Toy Gift Shop,,Novelty & Fun Toys,"jump-o-rama, bestway, bouncer, toy, kids, indoor, 3+, inflatable, fun, play, children",FALSE,Title,Default Title,TGS-JUMP-O-RAMA,,shopify,0,deny,manual,,,TRUE,TRUE,output_pending/TGS-JUMP-O-RAMA/angle2.jpg,1,Bestway Jump-O-Rama Bouncer,FALSE,Bestway Jump-O-Rama Bouncer for Kids 3+,Bestway Jump-O-Rama Bouncer for children 3+. Inflatable toy for indoor bouncing fun. Dimensions: 1.70m x 1.58m x 1.27m.,draft,backlog_low_stock,unknown,Below the stock-listing threshold (or explicitly discontinued) -- not priced for sale yet. Folder: backlog-products/BESTWAY-JUMP-O-RAMA-BOUNCER
tgs-jump-o-rama,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JUMP-O-RAMA/angle3.jpg,2,Bestway Jump-O-Rama Bouncer,,,,,backlog_low_stock,,
