handle,title,vendor,product_type,status,price,compare_at_price,sku,stock,age,occasions,play,subcategories,features,collections,all_tags,image,url,seo_title,seo_description,description
cocomelon-figure-set,"CoComelon TomTom, JJ, YoYo and Bingo Mini Figure Set",The Toy Gift Shop,Action Figures & Characters,DRAFT,1750.00,,TGS-COCOMELON-FIGS,3,3-5,"birthday, eid",pretend,Action Figures,new,"action-figures-characters, age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Action Figures",,,"CoComelon TomTom, JJ, YoYo and Bingo Mini Figure Set | Toy Gift Shop","Cocomelon character mini figures set for ages 3+. Includes 4 small plastic figures for pretend play. Hard plastic, no batteries, no movement.","A set of 4 small CoComelon character figures: TomTom (boy with blue helmet and goggles), JJ (baby in overalls with a yellow hair tuft), YoYo (girl with orange hair), and Bingo the family dog. For ages 3 and up as printed on the box."
colorday-tea-party-artistic-painting-set,ColorDay Tea Party Artistic Painting Set with 9 Piece Mini Tea Set and 6 Colors,The Toy Gift Shop,"Arts, Crafts & Creative Toys",DRAFT,1850.00,,TGS-TEA-PARTY-PAINT,3,5-8,"birthday, eid",build,Art Sets,new,"age-5-8, all, arts-crafts-creative-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",,,Tea Party Painting Set in Pakistan | Toy Gift Shop,"ColorDay Tea Party Artistic Painting Set includes a 9-piece ceramic tea set, 6 colors of paint, and a paintbrush for children ages 5+.","A ColorDay Tea Party painting set: a 9-piece mini tea set to paint yourself, with 6 colours and a brush. Paint the teapot, the cups and the saucers, then set the table for a tea party. Ages 5+ as printed on the box."
colorful-magnetic-blocks-forest-theme-set,Colorful Magnetic Blocks Forest Theme Set,The Toy Gift Shop,Building & Construction Toys,DRAFT,4500.00,,TGS-COLORFUL-MAG-BLOCKS,2,3-5,"birthday, eid",build,Building Blocks,new,"age-3-5, all, best-sellers, building-construction-toys, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Building Blocks",,,Colorful Magnetic Blocks in Pakistan | Toy Gift Shop,"Forest-themed magnetic blocks for ages 3+, 44 pieces, translucent plastic, educational building toy.","A 44-piece set of colourful magnetic blocks on a forest theme: translucent squares, triangles and arches that click together, plus little forest animals. The box notes that the animal colours are random. Ages 3+."
cosplay-spider-launch-toys,Spider Launch Toys Wrist Transmitter with Suction-Cup Darts,The Toy Gift Shop,Battle & Action Play,DRAFT,840.00,,TGS-SPIDERWEB-LAUNCH,2,5-8,"birthday, eid",games,Battle Play,new,"age-5-8, all, battle-action-play, best-sellers, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Battle Play",,,Spider Launch Toys Wrist Transmitter with Suction-Cup Darts | Toy Gift Shop,"Spider Launch Toys Hero Equipment Set includes a wrist transmitter, costume, and glasses for kids aged 6+. Perfect for cosplay and pretend play.","A wrist-worn hero launcher toy. A red spider-web-print fabric sleeve wraps the wrist and forearm, connected to a hand-crank launcher unit that fires three suction-cup-tipped darts. The launcher body is black with a red base. For ages 6 and up as printed on the box."
crackle-fluff-crispy-crunch-squishy-sticks,Crackle Fluff Crispy Crunch Squishy Sticks,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,1850.00,,TGS-SQUISHY-PASTEL-STICKS,4,3-5,"birthday, eid",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",,,Crackle Fluff Crispy Crunch Squishy Sticks in Pakistan | Toy Gift Shop,Crackle Fluff Crispy Crunch pastel squishy sticks in a clear case. Soft sensory squish toy. Do not eat.,"Crackle Fluff Crispy Crunch squishy sticks: soft pastel sticks swirled in pink, yellow and blue, packed in a clear case with the Crackle Fluff label. Squeeze and squish them for sensory play. The label says do not eat. It is a toy, not food."
crisp-choco-squishy-cream-and-chocolate,Crisp Choco Squishy Toy,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,1850.00,,TGS-SQUISHY-CRISP-CHOCO,18,3-5,"birthday, eid",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",,,Crisp Choco Squishy in Pakistan | Toy Gift Shop,"Crisp Choco chocolate-bar squishy toy in cream or chocolate, in a clear case. A toy, not food.","A soft squishy shaped like a chocolate bar, in two flavours: cream (white with coloured sprinkles) and chocolate (dark brown). Squeeze it and it slowly springs back. It comes in a clear case with the Faux Crisp Choco label. It is a toy, not food."
cube-squeeze-ball-super-solid-squish-toy,Cube Squeeze Ball - Super Solid Squish Toy,The Toy Gift Shop,Sensory & Fidget Toys,DRAFT,2250.00,,TGS-CUBE-SQUEEZE-FIDGET,23,3-5,"birthday, eid",games,Squishies,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, sensory-fidget-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Squishies",,,Super Solid Squish Cube Squeeze Toy in Pakistan | Toy Gift Shop,"A soft, solid, squishy cube fidget toy for sensory play. Comes in green glitter, pink, and orange swirl. Ages 3+.","A soft, squishy cube toy that can be squeezed and compressed. It is made of a flexible, solid material. The toy is designed for sensory play and fidgeting. It comes in various colors including green glitter, pink, and orange swirl. It is for children aged 3 and up."
cute-cow-sing-and-dancing-toy,Cute Cow Sing and Dancing Toy,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,2000.00,,TGS-CUTE-COW-SINGING,1,3-5,"birthday, eid",pretend,Animal Figures,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Animal Figures",,,Cute Cow Singing Dancing Toy in Pakistan | Toy Gift Shop,"Cute Cow Sing and Dancing Toy - a plastic toy cow that sings, dances, and has gold horns. Perfect for children ages 3+.",A toy cow with a pink belly and black-and-white spots that sings and dances. It has gold-colored horns and a bell. The toy is made of plastic and stands on black feet. It is intended for children.
cute-duck-slide-electric-track-toy,Cute Duck Slide Electric Track Toy,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1950.00,,TGS-CUTE-DUCK-SLIDE,7,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Cute Duck Slide in Pakistan | Toy Gift Shop,"Cute Duck Slide electric track toy with multiple ducks for ages 3+. Features an electric ladder, clear track, and fun duck figures. Perfect for kids.",This toy features a green plastic slide structure with an electric ladder mechanism. Small yellow duck figures slide down the track and can be placed on the ladder. The toy includes a clear plastic track piece and an orange flag. It is designed for children aged 3 and up.
cute-intelligent-robot-remote-control,Cute Intelligent Robot Toy with Remote Control and Follow Mode,The Toy Gift Shop,Robots & Electronic Toys,DRAFT,6800.00,,TGS-CUTE-INTELLIGE-ROBOT,2,5-8,"birthday, eid",games,Electronic Toys,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, robots-electronic-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Electronic Toys",,,Cute Intelligent Robot in Pakistan | Toy Gift Shop,Cute Intelligent Robot Toy with remote control and follow mode. Ages 6+. Includes USB cable and yellow ball. Plastic construction for children.,"A Cute Intelligent Robot with three modes printed on the box: follow mode, remote control mode and escape mode. It comes with a remote, a yellow ball and a USB charging cable. The robot inside is white; the box picture is for reference. Ages 6+."
dancing-cactus-toy-with-hat-and-scarf,"Dancing Cactus Toy with Hat, Glasses and Scarf",The Toy Gift Shop,Novelty & Fun Toys,DRAFT,1550.00,,TGS-DANCING-CACTUS,8,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Dancing Cactus in Pakistan | Toy Gift Shop,"Dancing Cactus: a knitted cactus that wiggles and dances to music, dressed in a hat, sunglasses and scarf.","A knitted cactus in a cloth pot that wiggles and dances to music at the press of the button on the pot. Ours comes dressed for the part, in a purple bucket hat, pixel sunglasses and a striped scarf. It stands about as tall as a water bottle and makes a very silly gift."
deluxe-hair-styling-set,Deluxe Hair Styling Set for Girls,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,3160.00,,TGS-DELUXE-HAIR-STYLING,1,3-5,"birthday, eid",pretend,Makeup Sets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",,,Deluxe Hair Styling Set in Pakistan | Toy Gift Shop,"Deluxe Hair Styling Set for girls, includes blow dryer, brush, comb, realistic lights & sounds, battery operated, ages 3+.","This toy hair styling set includes a blow dryer, brush, and comb. It has realistic lights and sounds and blows air. It is battery operated and designed for pretend play. The set is for children aged 3 years and up."
desert-eagle-model-gun,J-Shot Desert Eagle Gel Blaster,The Toy Gift Shop,Battle & Action Play,DRAFT,4800.00,,TGS-DESERT-EAGLE-GUN,2,8+,"birthday, eid",games,Battle Play,new,"age-8-plus, all, battle-action-play, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:8+, feature:new, occasion:birthday, occasion:eid, play:games, sub:Battle Play",,,Desert Eagle Model Gun in Pakistan | Toy Gift Shop,"J-Shot Desert Eagle gel blaster that fires soft water-gel beads, with bead hopper and USB charging. Ages 14+.","The J-Shot Desert Eagle is a gel blaster that fires soft water-gel beads. The beads are soaked in water first so they swell, then loaded into the clear hopper on top. It charges by USB. The box says ages 14+, so it is for teenagers and adults, with eye protection."
digital-mini-train-wooden-number-train,Digital Mini Train – Wooden Number Train 0 to 9,The Toy Gift Shop,Educational Toys,DRAFT,2150.00,,TGS-MINI-NUMBER-TRAIN,5,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, educational-toys, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Digital Mini Train in Pakistan | Toy Gift Shop,Digital Mini Train: a wooden number train with carriages 0 to 9 that hook together. A first counting toy for 3+.,"A wooden pull-along train where every carriage is a number, 0 to 9, in a different colour. The carriages hook together, so children line up the numbers in order, count them out and rearrange them. The box lists body and hand-eye coordination, motor skills, imagination, spatial thinking and creativity. 36 months and up, with a choking hazard warning for small parts."
dino-running-dinosaur-world-electric-series,Dino Running Dinosaur World Electric Series Toy,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,2750.00,,TGS-DINO-RUNNING-DINO,1,3-5,"birthday, eid",pretend,Dinosaur Toys,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Dinosaur Toys",,,Dino Running Dinosaur World in Pakistan | Toy Gift Shop,"Dino Running Dinosaur World Electric Series Toy. Large, walking upright dinosaur made of hard plastic. Ages 3+. Includes display box.","This is a large, white and brown striped dinosaur toy with a clear plastic spine. It is designed to move and walk upright. The toy is made of hard plastic and is intended for children aged 3 and up. It comes in a cardboard box with a brick wall display."
dinosaur-busy-board,Dinosaur Busy Board with 20+ Activities for Toddlers,The Toy Gift Shop,Baby & Toddler Toys,DRAFT,4550.00,,TGS-DINO-BUSY-BOARD,1,1-3,"birthday, eid",pretend,Baby Activity Toys,new,"age-1-3, all, baby-toddler-toys, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Activity Toys",,,Dinosaur Busy Board in Pakistan | Toy Gift Shop,"Multi-function dinosaur busy board with 20+ activities, wheels, and music for toddlers 18 months and up. Plastic construction with interactive panels.","This dinosaur-shaped busy board is designed for toddlers. It features colorful plastic panels, wheels with numbers, and interactive elements like a lock, slide, and buttons. The toy includes a speaker for sounds and music. It is intended for children aged 18 months and older."
diy-magnetic-levitation-train-track,DIY Magnetic Levitation Train Track with 55 Pieces for Ages 3+,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,4850.00,,TGS-DIY-MAG-LEVITATIO,1,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,Diy Magnetic Levitation Train Track in Pakistan | Toy Gift Shop,"DIY Magnetic Levitation Train Track with 55 pieces. Assemble your own magnetic train route. Ages 3+. Includes train, track, trees, and stop signs.","This DIY magnetic train track set includes 55 pieces that can be assembled to create a levitating train route. The train runs on magnetic rails and can be charged via a Type C cable. It is designed for children aged 3 and up. The set includes various track pieces, trees, and stop signs."
diy-railcar-magnetic-force,"DIY Railcar Magnetic Force Track Set, 55 Pieces",The Toy Gift Shop,Novelty & Fun Toys,DRAFT,8300.00,,TGS-DIY-RAILCAR-FORCE,3,3-5,"birthday, eid",games,Novelty Toys,new,"age-3-5, all, best-sellers, big-gifts, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Novelty Toys",,,DIY Railcar Magnetic Force Track Set in Pakistan | Toy Gift Shop,"DIY Railcar Magnetic Force track set with 55 pieces, bridge and road signs. Magnetic anti-gravity walking. Ages 3+.","A DIY magnetic railcar track set with 55 pieces, including loop track sections, a bridge, road signs and traffic lights. The railcar uses magnetic adsorption to travel upside-down and across loops. For ages 3 and up."
doctor-play-set-family-doctor,Family Doctor Play Set with Carry Case,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,1950.00,,TGS-DOCTOR-PLAY-SET,2,3-5,"birthday, eid",pretend,Doctor & Medical Sets,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Doctor & Medical Sets",,,Family Doctor Play Set in Pakistan | Toy Gift Shop,"Family Doctor play set with carry case, stethoscope, glasses and more. Pink or blue. Ages 3+.","A doctor role-play set in a carry case shaped like a medical bag. Includes glasses, a stethoscope, a thermometer, a toy syringe, scissors and a doctor toy medicine box. Available in pink and blue. For ages 3 and up."
domino-colored-toppling-set,Colored Domino Toppling Block Set,The Toy Gift Shop,Board Games,DRAFT,850.00,,TGS-DOMINO-COLORED,9,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Colored Domino Toppling Block Set in Pakistan | Toy Gift Shop,Colored Domino toppling block set for building and knocking down chain reactions. Ages 3+.,A set of colourful rectangular domino blocks for building and toppling chain reactions. Arrange the blocks in a line or pattern and watch them fall. For ages 3 and up.
double-six-color-dot-dominoes,"Double Six Color Dot Dominoes, 28 Tiles",The Toy Gift Shop,Board Games,DRAFT,2150.00,,TGS-DOMINOES-COLOR-DOT,1,5-8,"birthday, eid",games,Family Board Games,new,"age-5-8, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Double Six Color Dot Dominoes in Pakistan | Toy Gift Shop,"Double Six Color Dot Dominoes, 28 tiles in a metal tin. Ages 5+.","A classic set of 28 double-six dominoes with colour-coded dots for easier counting, in a metal storage tin. For ages 5 and up."
drawing-robot-jqr-02,Drawing Robot JQR-02 for Children's Painting Enlightenment Teaching,The Toy Gift Shop,"Arts, Crafts & Creative Toys",DRAFT,15600.00,,TGS-DRAWING-ROBOT-JQR,1,3-5,"birthday, eid",build,Art Sets,new,"age-3-5, all, arts-crafts-creative-toys, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Art Sets",,,Drawing Robot JQR-02 in Pakistan | Toy Gift Shop,Blue cartoon drawing robot JQR-02 for children's painting enlightenment teaching. Includes one animal drawing card. Plastic construction for safe art activities.,"A blue, cartoon-style robot with a pen-like arm designed to draw based on cards. It is made of plastic and includes a card with an animal illustration. The robot is intended for children's art education and is shown with a card labeled 'hippo'."
e99-pro-max-remote-control-drone,E99 Pro Max Remote Control Drone with Controller,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,8500.00,,TGS-E99-PRO-MAX,1,8+,"birthday, eid",vehicles,Drones,new,"age-8-plus, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:8+, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Drones",,,E99 Pro Max Drone in Pakistan | Toy Gift Shop,"E99 Pro Max Remote Control Drone with controller, camera, and carrying case. Designed for ages 14+. Foldable design for indoor and outdoor flying.",This remote control drone is designed for ages 14 and up. It features a foldable design with transparent arms and a camera. The drone is controlled by a handheld remote with two antennas. It comes with a carrying case and is intended for indoor and outdoor flying.
early-education-kids-drawing-tablet,Card Early Education Device with Rechargeable Battery and Puzzle Cards,The Toy Gift Shop,Educational Toys,DRAFT,1650.00,,TGS-TABLET-DRAWING,1,3-5,"birthday, eid",build,Learning Toys,new,"age-3-5, all, best-sellers, educational-toys, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:build, sub:Learning Toys",,,Early Education Kids Drawing Tablet in Pakistan | Toy Gift Shop,"Pink bear-shaped drawing tablet for ages 3+ with rechargeable battery, puzzle cards, and educational features for early learning.","A pink, bear-shaped early education device for children. It has a black LCD writing screen, buttons, and a speaker, and reads included flashcards aloud. Comes with a USB charging cable and puzzle/flash cards. For ages 3 and up."
educational-keyboard-tablet,Educational Keyboard Toy with LED Screen and Alphabet Keys,The Toy Gift Shop,Musical Toys,DRAFT,3250.00,,TGS-EDU-KEYS,2,3-5,"birthday, eid",pretend,Musical Instruments,new,"age-3-5, all, best-sellers, gifts-under-5000, musical-toys, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Musical Instruments",,,Educational Keyboard Toy in Pakistan | Toy Gift Shop,"Educational keyboard toy for ages 3+ with LED screen, alphabet keys, and piano-style keys. Made of durable plastic. Requires 3x AA batteries (not included).","An Educação learning tablet with a piano keyboard: an LED screen, alphabet and number keys, and 8 mode keys for letters, words, numbers and music. It runs on 3 x 1.5V AA batteries, which are not included, and the box says not to use rechargeable ones. Ages 3+."
electric-cartoon-dinosaur-toy,Electric Cartoon Dinosaur Toy with Sound and Movement,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,2400.00,,TGS-ELEC-CARTOON-DINO,1,3-5,"birthday, eid",pretend,Dinosaur Toys,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Dinosaur Toys",,,Electric Cartoon Dinosaur Toy in Pakistan | Toy Gift Shop,Electric cartoon dinosaur toy with sound and movement. Includes 2 eggs. For ages 3+. Hard plastic build.,This toy is a yellow cartoon dinosaur with brown mane and green accents. It has a lid on its back that opens to reveal small eggs inside. The toy moves and makes sounds when activated. It is made of hard plastic and is intended for children aged 3 and up.
electric-drill-tool-set,Electric Drill Toy with Accessories in Carry Case,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,3650.00,,TGS-ELECTRIC-DRILL-SET,2,3-5,"birthday, eid",pretend,Role Play Sets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Role Play Sets",,,Electric Drill Toy with Accessories in Carry Case | Toy Gift Shop,"Electric drill toy with accessories in carry case. Includes drill bits, wrench, and wooden block. Designed for children to simulate drilling activities.","A toy electric drill set packaged in a clear plastic carry case. The drill has orange and gray plastic parts. It includes various accessories such as drill bits, a wrench, and a wooden block with holes. The toy is designed for children to simulate drilling and assembling."
engineering-truck-adventure-track,Engineering Truck Adventure – 7 Checkpoint Track Set,The Toy Gift Shop,Cars & Vehicles,DRAFT,3650.00,,TGS-TRUCK-ADVENTURE,7,3-5,"birthday, eid",vehicles,Die-Cast Cars,new,"age-3-5, all, best-sellers, cars-vehicles, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:Die-Cast Cars",,,Engineering Truck Adventure in Pakistan | Toy Gift Shop,"Engineering Truck Adventure: a 7-checkpoint track worked by levers, no batteries, with two cars. Ages 3+.","An adventure track for little engineers: push and turn the levers to send the cars through seven checkpoints, up the lift, under the crane and down the purple ramp. The box says it runs on levers and track inertia, so it needs no batteries at all. Two cars and four levers are included. Ages 3+."
follow-me-gesture-car,Magic Induction Follow Me Gesture Car – Pink & Green,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,5850.00,,TGS-FOLLOW-ME-CAR,3,5-8,"birthday, eid",vehicles,RC Vehicles,new,"age-5-8, all, best-sellers, big-gifts, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:5-8, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",,,Follow Me Gesture Car in Pakistan | Toy Gift Shop,"Follow Me Gesture Car Remote Control Toy for kids aged 6+. Features gesture following mode, 2.4GHz remote, and includes 2 yellow balls. Plastic body with white wheels.","The Magic Induction SQN-001 is a little car that follows your hand. In follow mode it senses whatever is in front and drives after it; with the 2.4GHz remote you steer it yourself. The box says several cars can run at once without interfering, so they can form a fleet. Comes in pink, green and yellow. Ages 6+."
four-in-one-insect-catching-game,Four in One Insect Catching Game – Magnetic Wooden Board,The Toy Gift Shop,Board Games,DRAFT,2150.00,,TGS-FOUR-INSECT-CATCHING,4,3-5,"birthday, eid",games,Family Board Games,new,"age-3-5, all, best-sellers, board-games, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",,,Four in One Insect Catching Game in Pakistan | Toy Gift Shop,Four in One Insect Catching Game: a wooden board with four fruit scenes and a magnetic wand to catch the bugs. Ages 3+.,"A wooden catching board with four fruit scenes on it: apple, grapes, watermelon and strawberry. Little bugs sit in the fruit with steel heads, and the magnetic wand picks them up. Good for steady hands and early counting. 36 months and up, as printed on the box."
frenzy-racing-rc-car,Frenzy Racing 1:20 Scale Remote Control Car with 27MHz Transmitter,The Toy Gift Shop,RC & Remote Control Toys,DRAFT,1750.00,,TGS-FRENZY-RACING-CAR,7,3-5,"birthday, eid",vehicles,RC Vehicles,new,"age-3-5, all, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, rc-remote-control-toys","age:3-5, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",,,Frenzy Racing 1:20 Scale Remote Control Car with 27MHz Transmitter | Toy Gift Shop,"Frenzy Racing 1:20 scale remote control car with 2.4GHz transmitter. Shiny blue plastic body. For ages 3 and up. Includes remote, battery, and charger.","This is a 1:20 scale remote control racing car. The car has a shiny blue finish. It moves forward, backward, and turns left or right. It comes with a black remote control with red buttons and a USB rechargeable battery. Runs on 27MHz radio control. The car is for ages 3 and up."
frozen-beautiful-girls-makeup-set,Frozen Beautiful Girl's Series Make-Up Set,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,850.00,,TGS-FROZEN-MAKEUP,4,3-5,"birthday, eid",pretend,Makeup Sets,new,"age-3-5, all, best-sellers, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",,,Frozen Beautiful Girl's Series Make-Up Set in Pakistan | Toy Gift Shop,Frozen Beautiful Girl's Series flower-shaped make-up set with mirror and toy makeup. Ages 3+.,"A flower-shaped toy makeup compact featuring Frozen artwork (Anna, Elsa and Olaf). Opens to reveal a mirror and a toy makeup palette. For ages 3 and up."
frozen-ii-beauty-makeup-set,Frozen II My Beauty World Make-Up Set,The Toy Gift Shop,Pretend Play & Role Play,DRAFT,750.00,,TGS-FROZEN-II-MAKEUP,4,3-5,"birthday, eid",pretend,Makeup Sets,new,"age-3-5, all, best-sellers, gifts-under-1000, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid, pretend-play-role-play","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",,,Frozen II Beauty Make-Up Set in Pakistan | Toy Gift Shop,Frozen II My Beauty World crown-shaped make-up set with mirror and toy eyeshadow. Ages 3+.,A crown-shaped toy makeup compact featuring Frozen II artwork (Anna and Elsa). Opens to reveal a mirror and a toy eyeshadow palette. For ages 3 and up.
gear-dinosaur-toy,Gear Dinosaur Toy with Musical and Light Effects,The Toy Gift Shop,Animal & Dinosaur Toys,DRAFT,2000.00,,TGS-GEAR-DINO,1,3-5,"birthday, eid",pretend,Dinosaur Toys,new,"age-3-5, all, animal-dinosaur-toys, best-sellers, gifts-under-2500, gifts-under-5000, new-in, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Dinosaur Toys",,,Gear Dinosaur Toy in Pakistan | Toy Gift Shop,Gear Dinosaur Toy with musical and light effects. Green plastic dinosaur with visible gears. Ages 3+. Includes instruction manual.,A green plastic dinosaur toy with visible internal gears. It plays music and lights up when activated. The toy is designed for children aged 3 and up. It has a long neck and a smiling face with a yellow crest on its head. The toy is shown in its packaging and out of the box.
givelong-cute-fan-visor-hat,Givelong Cute Fan Visor Hat with Lion Design,The Toy Gift Shop,Novelty & Fun Toys,DRAFT,2550.00,,TGS-FAN-VISOR-HAT,5,3-5,"birthday, eid",games,Gadgets,new,"age-3-5, all, best-sellers, gifts-under-5000, new-in, novelty-fun-toys, occasion-birthday, occasion-eid","age:3-5, feature:new, occasion:birthday, occasion:eid, play:games, sub:Gadgets",,,Cute Fan Visor Hat in Pakistan | Toy Gift Shop,"A light blue visor hat with a 3D lion fan for kids aged 3+. USB powered, adjustable strap, and includes a charging cable. Perfect for summer cooling and fun.","A Givelong Cute Fan Hat: a visor with a little animal fan on the front. The box lists three fan speeds, low noise, air on all sides, an adjustable head strap and USB charging. Ours is the light blue one with the lion. Ages 3+."
