folder,new_folder,sku,new_sku,brand,note,box_title
TGS-STEM-CHEM-EXPERMNT,STEM-CHEMISTRY-EXPERIMENT-SET,TGS-STEM-CHEM-EXPERMNT,,,,STEM Chemistry Experiment Set with 14 Experiments
TGS-STUDY-BOOK,STUDY-BOOK-INTELLECTUAL-LEARNING-TOY,TGS-STUDY-BOOK,,,,Study Book Intellectual Learning Toy for Ages 3+
TGS-SUV-DIECAST-CAR,LAND-CRUISER-SUV-DIECAST-MODEL-CAR,TGS-SUV-DIECAST-CAR,,,,Land Cruiser SUV Diecast Model Car
TGS-SWIM-CROCODILE,REMOTE-CONTROL-SWIM-CROCODILE-TOY,TGS-SWIM-CROCODILE,,,was cut off,Remote Control Swim Crocodile Toy with Controller
TGS-SWIMMING-GOGGLES,ZOTO-BRAND-SWIMMING-GOGGLES-IN-CLEAR-CASE,TGS-SWIMMING-GOGGLES,,ZOTO,,ZOTO Brand Swimming Goggles in Clear Case
TGS-TABLET-DRAWING,EARLY-EDUCATION-KIDS-DRAWING-TABLET,TGS-TABLET-DRAWING,,,,Early Education Kids Drawing Tablet with Rechargeable Battery and Puzzle Cards
TGS-TABLET-DRAWING-CALC,CHILDRENS-LCD-DRAWING-TABLET-WITH-CALCULATOR,TGS-TABLET-DRAWING-CALC,,,,Children's LCD Drawing Tablet with Calculator
TGS-TEA-PARTY-PAINT,COLORDAY-TEA-PARTY-ARTISTIC-PAINTING-SET,TGS-TEA-PARTY-PAINT,,ColorDay,,ColorDay Tea Party Artistic Painting Set with 9 Piece Mini Tea Set and 6 Colors
TGS-TEACHER-LAPTOP,TEACHER-LAPTOP-EDUCATIONAL-TOY,TGS-TEACHER-LAPTOP,,,,Teacher Laptop Educational Toy for Quran Learning
TGS-TELESCOPI-LIGHTSABE,TELESCOPIC-LIGHTSABER-TOY,TGS-TELESCOPI-LIGHTSABE,,,,Telescopic Lightsaber Toy with Color-Changing Blade
TGS-THOMAS-FRIENDS-BUILDING,THOMAS-AND-FRIENDS-BUILDING-BLOCKS-TOY-SET,TGS-THOMAS-FRIENDS-BUILDING,,,,Thomas & Friends Building Blocks Toy Set with Train and Tracks
TGS-TIGER-BUBBLE,TIGER-BUBBLE-MACHINE,TGS-TIGER-BUBBLE,,,,Tiger Bubble Machine with 10-Hole Bubble Blower
TGS-TOOL-DRILL,KIDS-TOOL-DRILL-SET,TGS-TOOL-DRILL,,,,Kids Tool Drill Set with Accessories
TGS-TOUCH-TEACH-WORDS,HUG-HAPPY-TOUCH-AND-TEACH-WORDS-BOOK,TGS-TOUCH-TEACH-WORDS,,,was cut off,Hug Happy Touch and Teach Words Book Early Education Baby Toy
TGS-TRAIN-STACKING,TRAIN-STACKING-DOMINO-TOY,TGS-TRAIN-STACKING,,,,Train Stacking Domino Toy with 60 Pieces
TGS-TRICYCLE,YELLOW-AND-GREEN-RIDE-ON-TRICYCLE-TOY,TGS-TRICYCLE,,,,Yellow and Green Ride-On Tricycle Toy with Big Wheels
TGS-TRUCKS,MINIATURE-TRUCK-COLLECTION,TGS-TRUCKS,,,,Miniature Truck Collection with Clear Display Cases
TGS-UNICORN-MAKEUP-CASE,UNICORN-MAKEUP-CASE,TGS-UNICORN-MAKEUP-CASE,,,,Unicorn Makeup Case with 16-Piece Toy Makeup Set
TGS-UNICORN-NIGHTLIGHT,UNICORN-NIGHT-LIGHT,TGS-UNICORN-NIGHTLIGHT,,,,Unicorn Night Light with Charging Cable
TGS-VENDING,VENDING-MACHINE-TOY,TGS-VENDING,,,,Vending Machine Toy with Sound Effects and Drink Dispenser
TGS-VIDEO-WALKIE-TALKIE,KIDS-VIDEO-WALKIE-TALKIE-SET,TGS-VIDEO-WALKIE-TALKIE,,,,Kids Video Walkie Talkie Set with Two Units
TGS-VINTAGE-DIECAST-CAR,ROLLS-ROYCE-PHANTOM-VINTAGE-DIECAST-MODEL-CAR,TGS-VINTAGE-DIECAST-CAR,,,,Rolls Royce Phantom Vintage Diecast Model Car
TGS-VITA-50-DRONE,4DRC-VITA-50-4-AXIS-REMOTE-CONTROL-DRONE,TGS-VITA-50-DRONE,,4DRC,was cut off,4DRC Vita-50 4-Axis Remote Control Drone with Controller
TGS-VOICE-BROADCAST-RC,VOICE-BROADCAST-RC-POLICE-CAR,TGS-VOICE-BROADCAST-RC,,,trimmed,Voice Broadcast RC Police Car with Remote Control
TGS-WD-BUSY-BOARD,WOODEN-BUSY-BOARD,TGS-WD-BUSY-BOARD,,,,Wooden Busy Board with Blue Strap for Babies 36m+
TGS-WD-CLOCK-LEARNING,WOODEN-CLOCK-LEARNING-TOY,TGS-WD-CLOCK-LEARNING,,,,Wooden Clock Learning Toy with Removable Hands and Number Discs
TGS-WD-MARBLE-BALANCE,WOODEN-MARBLE-BALANCE-TOWER-GAME,TGS-WD-MARBLE-BALANCE,,,,Wooden Marble Balance Tower Game
TGS-WD-SHAPE-SORTER,WOODEN-SHAPE-SORTER-HOUSE,TGS-WD-SHAPE-SORTER,,,,Wooden Shape Sorter House for Toddlers
TGS-WINNIE-POOH,WINNIE-THE-POOH-ACTION-FIGURE,TGS-WINNIE-POOH,,,,Winnie The Pooh Action Figure
