Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
tgs-jenga,Jenga Classic Wooden Block Stacking Game,"<p>The classic Jenga wooden block stacking game by Hasbro. Pull a block, stack it on top, and see how far the tower can go before it crashes. For ages 6 and up.</p><ul><li>54 genuine wooden blocks</li><li>Pull, stack and crash gameplay</li><li>For 1 or more players</li><li>For ages 6 and up</li></ul><p><strong>What's included:</strong></p><ul><li>54 wooden Jenga blocks</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-JENGA,,shopify,2,deny,manual,2900.00,,TRUE,TRUE,output_pending/TGS-JENGA/angle2.jpg,1,Jenga Classic Wooden Block Stacking Game,FALSE,Jenga Classic Wooden Block Game in Pakistan | Toy Gift Shop,Jenga classic wooden block stacking game by Hasbro. 54 genuine wood blocks. Ages 6+.,draft
tgs-jenga,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JENGA/angle3.jpg,2,Jenga Classic Wooden Block Stacking Game,,,,
tgs-jenga,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JENGA/angle4.jpg,3,Jenga Classic Wooden Block Stacking Game,,,,
tgs-jumbo-sequence,Jumbo Sequence Game with Jumbo Size Playing Mat,"<p>Jumbo Sequence, a large-format version of the classic Sequence strategy game with a jumbo playing mat (32 x 27 inch). Place a card, place a chip on the matching space, and be first to complete a row of five. For ages 7 and up.</p><ul><li>Jumbo-size playing mat, 32 x 27 inch</li><li>Classic Sequence strategy gameplay</li><li>For 2 to 12 players</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 jumbo playing mat</li><li>Playing chips</li><li>Deck of cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-JUMBO-SEQUENCE,,shopify,3,deny,manual,2850.00,,TRUE,TRUE,output_pending/TGS-JUMBO-SEQUENCE/angle2.jpg,1,Jumbo Sequence Game with Jumbo Size Playing Mat,FALSE,Jumbo Sequence Game in Pakistan | Toy Gift Shop,Jumbo Sequence strategy game with a jumbo-size playing mat. Ages 7+.,draft
tgs-jumbo-sequence,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JUMBO-SEQUENCE/angle3.jpg,2,Jumbo Sequence Game with Jumbo Size Playing Mat,,,,
tgs-jumbo-sequence,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JUMBO-SEQUENCE/front.jpg,3,Jumbo Sequence Game with Jumbo Size Playing Mat,,,,
tgs-jr-pictionary,Junior Pictionary - The Game of Quick Draw for Kids,"<p>Junior Pictionary, the game of quick draw for kids. Draw clues from cards and get your team to guess before time runs out. For ages 7 and up.</p><ul><li>Quick-draw guessing game for kids</li><li>Team-based gameplay</li><li>Includes drawing pad and clue cards</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Drawing pad</li><li>Clue cards</li><li>Game board</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-JR-PICTIONARY,,shopify,1,deny,manual,2850.00,,TRUE,TRUE,output_pending/TGS-JR-PICTIONARY/angle2.jpg,1,Junior Pictionary - The Game of Quick Draw for Kids,FALSE,Junior Pictionary Game in Pakistan | Toy Gift Shop,"Junior Pictionary, the game of quick draw for kids. Ages 7+.",draft
tgs-jr-pictionary,,,,,,,,,,,,,,,,,,,,output_pending/TGS-JR-PICTIONARY/front.jpg,2,Junior Pictionary - The Game of Quick Draw for Kids,,,,
tgs-ludo-magnetic-board,Ludo Game Magnetic Board,<p>A Ludo game with a magnetic board and playing pieces. Classic Ludo gameplay with pieces that stay securely in place. For ages 3 and up.</p><ul><li>Magnetic Ludo board and pieces</li><li>Classic Ludo gameplay</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 magnetic Ludo board</li><li>Playing pieces</li><li>1 die</li></ul>,The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-LUDO-MAGNETIC-BOARD,,shopify,1,deny,manual,1450.00,,TRUE,TRUE,output_pending/TGS-LUDO-MAGNETIC-BOARD/angle2.jpg,1,Ludo Game Magnetic Board,FALSE,Ludo Game Magnetic Board in Pakistan | Toy Gift Shop,Ludo Game Magnetic Board with playing pieces that stay in place. Ages 3+.,draft
tgs-ludo-magnetic-board,,,,,,,,,,,,,,,,,,,,output_pending/TGS-LUDO-MAGNETIC-BOARD/angle3.jpg,2,Ludo Game Magnetic Board,,,,
tgs-ludo-magnetic-board,,,,,,,,,,,,,,,,,,,,output_pending/TGS-LUDO-MAGNETIC-BOARD/front.jpg,3,Ludo Game Magnetic Board,,,,
tgs-ludo-compact,"Ludo Magnetic Game, Compact Folding Board","<p>A magnetic Ludo game with a compact folding board and magnetic playing pieces, so pieces stay in place during travel play. For ages 4 and up.</p><ul><li>Magnetic playing pieces stay in place</li><li>Compact folding board</li><li>Classic Ludo gameplay</li><li>For ages 4 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 folding magnetic board</li><li>Playing pieces</li><li>1 die</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-LUDO-COMPACT,,shopify,2,deny,manual,1750.00,,TRUE,TRUE,output_pending/TGS-LUDO-COMPACT/angle2.jpg,1,"Ludo Magnetic Game, Compact Folding Board",FALSE,Ludo Magnetic Game in Pakistan | Toy Gift Shop,Ludo Magnetic Game with a compact folding board and magnetic pieces. Ages 4+.,draft
tgs-ludo-compact,,,,,,,,,,,,,,,,,,,,output_pending/TGS-LUDO-COMPACT/angle3.jpg,2,"Ludo Magnetic Game, Compact Folding Board",,,,
tgs-ludo-compact,,,,,,,,,,,,,,,,,,,,output_pending/TGS-LUDO-COMPACT/angle4.jpg,3,"Ludo Magnetic Game, Compact Folding Board",,,,
tgs-pony-figure-blue,"Magical Pony Figure with Brushable Hair, Blue","<p>A blue collectible pony figure with brushable, colourful hair and a glittery mane and tail. Comes in a display box. For ages 3 and up.</p><ul><li>Blue pony figure with brushable hair</li><li>Glittery mane and tail</li><li>Comes in a display box</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 blue pony figure</li></ul>",The Toy Gift Shop,,Action Figures & Characters,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Collectible Figures",FALSE,Title,Default Title,TGS-PONY-FIGURE-BLUE,,shopify,2,deny,manual,750.00,,TRUE,TRUE,output_pending/TGS-PONY-FIGURE-BLUE/angle2.jpg,1,"Magical Pony Figure with Brushable Hair, Blue",FALSE,Magical Pony Figure with Brushable Hair in Pakistan | Toy Gift Shop,"Magical Pony collectible figure in blue with brushable, glittery hair. Ages 3+.",draft
tgs-pony-figure-blue,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PONY-FIGURE-BLUE/angle3.jpg,2,"Magical Pony Figure with Brushable Hair, Blue",,,,
tgs-pony-figure-blue,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PONY-FIGURE-BLUE/angle4.jpg,3,"Magical Pony Figure with Brushable Hair, Blue",,,,
tgs-makeup-set-case,Makeup Set Case for Kids - Colorful Princess Bag,<p>This toy makeup set is a pink and light blue plastic case shaped like a princess bag. It opens to reveal a mirror and multiple compartments for pretend makeup. The case has a heart-shaped clasp with a red gem and stands on four small feet. It is designed for children aged 5 and up.</p><ul><li>Made of hard plastic</li><li>Pink and light blue color scheme</li><li>Includes mirror and pretend makeup accessories</li><li>Features a heart-shaped clasp with a red gem</li><li>Intended for children aged 5 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Plastic makeup case with mirror and compartments</li><li>Pretend makeup accessories</li><li>Instructional sticker on mirror</li></ul>,The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-MAKEUP-SET-CASE,,shopify,1,deny,manual,3450.00,,TRUE,TRUE,output_pending/TGS-MAKEUP-SET-CASE/angle10.jpg,1,Makeup Set Case for Kids - Colorful Princess Bag,FALSE,Makeup Set Case for Kids in Pakistan | Toy Gift Shop,"Colorful princess bag makeup set for kids. Includes pretend makeup, mirror, and compartments. Ages 5+. Toy for pretend play.",draft
tgs-makeup-set-case,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MAKEUP-SET-CASE/angle11.jpg,2,Makeup Set Case for Kids - Colorful Princess Bag,,,,
tgs-makeup-set-case,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MAKEUP-SET-CASE/angle12.jpg,3,Makeup Set Case for Kids - Colorful Princess Bag,,,,
tgs-mermaid-makeup,Mermaid 2-in-1 Beauty Make Up Case with Jewellery,"<p>A glitter makeup case with a mermaid design, combining a toy makeup set and jewellery box in one carry case with a handle. It opens to reveal a mirror, brushes and a colourful toy makeup palette. Available in pink and purple glitter. For ages 3 and up.</p><ul><li>2-in-1 makeup and jewellery case</li><li>Glitter exterior with mermaid design</li><li>Mirror and toy brushes included</li><li>Carry handle for portability</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Makeup case with mermaid design</li><li>Mirror inside lid</li><li>Toy makeup palette</li><li>Toy brushes</li></ul>",The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-MERMAID-MAKEUP,,shopify,11,deny,manual,3250.00,,TRUE,TRUE,output_pending/TGS-MERMAID-MAKEUP/angle2.jpg,1,Mermaid 2-in-1 Beauty Make Up Case with Jewellery,FALSE,Mermaid 2-in-1 Beauty Makeup Case in Pakistan | Toy Gift Shop,Mermaid 2-in-1 beauty makeup and jewellery case with mirror and brushes. Pink or purple glitter. Ages 3+.,draft
tgs-mermaid-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MERMAID-MAKEUP/angle3.jpg,2,Mermaid 2-in-1 Beauty Make Up Case with Jewellery,,,,
tgs-mermaid-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MERMAID-MAKEUP/angle4.jpg,3,Mermaid 2-in-1 Beauty Make Up Case with Jewellery,,,,
tgs-monopoly-classic,Monopoly Classic Property Trading Board Game,"<p>The world&#x27;s favourite property trading board game. Buy, sell and trade properties to build your real estate empire and bankrupt your opponents. For ages 8 and up.</p><ul><li>Classic property trading gameplay</li><li>Buy, sell and trade properties</li><li>For 2 to 8 players</li><li>For ages 8 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Game board</li><li>Property cards</li><li>Play money</li><li>Tokens and dice</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-MONOPOLY-CLASSIC,,shopify,3,deny,manual,1850.00,,TRUE,TRUE,output_pending/TGS-MONOPOLY-CLASSIC/angle2.jpg,1,Monopoly Classic Property Trading Board Game,FALSE,Monopoly Classic Board Game in Pakistan | Toy Gift Shop,Monopoly Classic property trading board game -- the world's favourite game. Ages 8+.,draft
tgs-monopoly-classic,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MONOPOLY-CLASSIC/front.jpg,2,Monopoly Classic Property Trading Board Game,,,,
tgs-monopoly-deal,Monopoly Deal Card Game,"<p>The fast-paced Monopoly Deal card game. Collect property sets, play action cards and outmanoeuvre opponents to win. Plays in about 15 minutes. For ages 8 and up.</p><ul><li>Fast-paced card game version of Monopoly</li><li>Collect property sets to win</li><li>Plays in about 15 minutes</li><li>For 2 to 5 players</li><li>For ages 8 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 deck of Monopoly Deal cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-MONOPOLY-DEAL,,shopify,5,deny,manual,480.00,,TRUE,TRUE,output_pending/TGS-MONOPOLY-DEAL/angle2.jpg,1,Monopoly Deal Card Game,FALSE,Monopoly Deal Card Game in Pakistan | Toy Gift Shop,Monopoly Deal fast-paced card game. Collect property sets and win in about 15 minutes. Ages 8+.,draft
tgs-monopoly-deal,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MONOPOLY-DEAL/angle3.jpg,2,Monopoly Deal Card Game,,,,
tgs-monopoly-deal,,,,,,,,,,,,,,,,,,,,output_pending/TGS-MONOPOLY-DEAL/angle4.jpg,3,Monopoly Deal Card Game,,,,
tgs-pixel-led-sword,"Pixel LED Light-Up Sword, Minecraft-Style","<p>A pixelated, Minecraft-style toy sword with built-in LED lights along the blade. Available in blue/black and purple/green colourways. For ages 3 and up.</p><ul><li>Pixelated, blocky sword design</li><li>Built-in LED lights along the blade</li><li>Available in 2 colourways</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 pixel LED sword</li></ul>",The Toy Gift Shop,,Fantasy & Magic Toys,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Pretend Weapons",FALSE,Title,Default Title,TGS-PIXEL-LED-SWORD,,shopify,4,deny,manual,2450.00,,TRUE,TRUE,output_pending/TGS-PIXEL-LED-SWORD/angle2.jpg,1,"Pixel LED Light-Up Sword, Minecraft-Style",FALSE,Pixel LED Light-Up Sword in Pakistan | Toy Gift Shop,"Pixel LED light-up toy sword, Minecraft-style, blue/black or purple/green. Ages 3+.",draft
tgs-pixel-led-sword,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PIXEL-LED-SWORD/angle3.jpg,2,"Pixel LED Light-Up Sword, Minecraft-Style",,,,
tgs-pixel-led-sword,,,,,,,,,,,,,,,,,,,,output_pending/TGS-PIXEL-LED-SWORD/front.jpg,3,"Pixel LED Light-Up Sword, Minecraft-Style",,,,
tgs-rainbow-tower-unicorn,Rainbow Tower Unicorn Stacker Toy,<p>A wooden stacking toy with a unicorn head. It has seven rings in rainbow colors that stack on a base. The rings are smooth and can be removed and placed back. It is for children aged 36+ months.</p><ul><li>Made of wood with painted rings</li><li>Seven rings in rainbow colors</li><li>Unicorn head with closed eyes</li><li>Rings can be stacked and removed</li><li>Intended for children 36+ months</li></ul><p><strong>What's included:</strong></p><ul><li>1 wooden unicorn tower with 7 rings</li></ul>,The Toy Gift Shop,,Baby & Toddler Toys,"age:1-3, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Baby Activity Toys",FALSE,Title,Default Title,TGS-RAINBOW-TOWER-UNICORN,,shopify,1,deny,manual,2350.00,,TRUE,TRUE,output_pending/TGS-RAINBOW-TOWER-UNICORN/angle2.jpg,1,Rainbow Tower Unicorn Stacker Toy,FALSE,Rainbow Tower Unicorn Stacker in Pakistan | Toy Gift Shop,"Wooden unicorn stacking toy with 7 colorful rings for children 36+ months. Develops fine motor skills and color recognition. Safe, sturdy, and fun.",draft
tgs-rainbow-tower-unicorn,,,,,,,,,,,,,,,,,,,,output_pending/TGS-RAINBOW-TOWER-UNICORN/angle3.jpg,2,Rainbow Tower Unicorn Stacker Toy,,,,
tgs-rainbow-tower-unicorn,,,,,,,,,,,,,,,,,,,,output_pending/TGS-RAINBOW-TOWER-UNICORN/angle4.jpg,3,Rainbow Tower Unicorn Stacker Toy,,,,
tgs-rc-drift-racing,RC Drift Racing Car with 4WD and Neon LED Lights,<p>This remote-controlled drift racing car features 4WD for all-terrain performance. It includes a 2.4G RC controller and neon LED lights for visibility. The car has a blue and orange racing livery with sponsor decals. It is designed for indoor and outdoor play on smooth surfaces.</p><ul><li>Plastic body with racing decals</li><li>Includes 2.4G RC controller</li><li>4WD drivetrain for movement</li><li>Neon LED lights for illumination</li><li>For ages 8 and up</li></ul><p><strong>What's included:</strong></p><ul><li>RC Drift Racing Car</li><li>2.4G RC Controller</li><li>Neon LED Lights</li><li>Instruction Manual</li></ul>,The Toy Gift Shop,,RC & Remote Control Toys,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",FALSE,Title,Default Title,TGS-RC-DRIFT-RACING,,shopify,5,deny,manual,12600.00,,TRUE,TRUE,output_pending/TGS-RC-DRIFT-RACING/angle2.jpg,1,RC Drift Racing Car with 4WD and Neon LED Lights,FALSE,RC Drift Racing Car in Pakistan | Toy Gift Shop,RC Drift Racing Car with 4WD and Neon LED lights for ages 8+. Includes controller and lights. Perfect for indoor and outdoor play.,draft
tgs-rc-drift-racing,,,,,,,,,,,,,,,,,,,,output_pending/TGS-RC-DRIFT-RACING/front.jpg,2,RC Drift Racing Car with 4WD and Neon LED Lights,,,,
tgs-shining-unicorn-makeup,Shining Unicorn Makeup Case with 46 Kinds of Toys,<p>A toy makeup case with a unicorn design. It opens to reveal compartments holding colorful toy makeup items. The case has a handle and a mirror inside. It includes small brushes and other accessories for pretend play.</p><ul><li>ALUMINUM FRAME</li><li>PINK GLITTER COVER</li><li>OPENING LID</li><li>INCLUDES 46 TOYS</li><li>TOY BRUSHES INCLUDED</li></ul><p><strong>What's included:</strong></p><ul><li>Makeup case with unicorn design</li><li>Mirror inside lid</li><li>46 toy makeup items</li><li>4 toy brushes with pink handles</li></ul>,The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-SHINING-UNICORN-MAKEUP,,shopify,1,deny,manual,5250.00,,TRUE,TRUE,output_pending/TGS-SHINING-UNICORN-MAKEUP/angle2.jpg,1,Shining Unicorn Makeup Case with 46 Kinds of Toys,FALSE,Shining Unicorn Makeup Case in Pakistan | Toy Gift Shop,"Shining Unicorn Makeup Case with 46 kinds of pretend play toys. Includes brushes, palette, and mirror. Perfect for kids ages 3+.",draft
tgs-shining-unicorn-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-SHINING-UNICORN-MAKEUP/angle3.jpg,2,Shining Unicorn Makeup Case with 46 Kinds of Toys,,,,
tgs-shining-unicorn-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-SHINING-UNICORN-MAKEUP/angle4.jpg,3,Shining Unicorn Makeup Case with 46 Kinds of Toys,,,,
tgs-stitch-bumper-car,"Stitch RC Bumper Car with Collision Ejection, 2.4GHz","<p>A remote-control bumper car set featuring Stitch and Angel figures riding molded bumper cars. Each car has a 2.4GHz remote and collision-ejection action, with lighting, music and spray effects. Two cars and two remotes are included, one pink (Angel) and one blue (Stitch).</p><ul><li>2.4GHz remote control, one car per remote</li><li>Collision ejection action on impact</li><li>Cool lighting and dynamic music effects</li><li>Spray effect and crash resistance</li><li>Includes 2 bumper cars and 2 remotes</li></ul><p><strong>What's included:</strong></p><ul><li>1 blue bumper car with figure</li><li>1 pink bumper car with figure</li><li>2 remote controls</li></ul>",The Toy Gift Shop,,RC & Remote Control Toys,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:vehicles, sub:RC Vehicles",FALSE,Title,Default Title,TGS-STITCH-BUMPER-CAR,,shopify,3,deny,manual,9850.00,,TRUE,TRUE,output_pending/TGS-STITCH-BUMPER-CAR/angle2.jpg,1,"Stitch RC Bumper Car with Collision Ejection, 2.4GHz",FALSE,Stitch RC Bumper Car in Pakistan | Toy Gift Shop,"Stitch RC Bumper Car set with 2.4GHz remotes, collision ejection, lights and music. Includes 2 cars and 2 remotes.",draft
tgs-stitch-bumper-car,,,,,,,,,,,,,,,,,,,,output_pending/TGS-STITCH-BUMPER-CAR/angle3.jpg,2,"Stitch RC Bumper Car with Collision Ejection, 2.4GHz",,,,
tgs-stitch-bumper-car,,,,,,,,,,,,,,,,,,,,output_pending/TGS-STITCH-BUMPER-CAR/angle4.jpg,3,"Stitch RC Bumper Car with Collision Ejection, 2.4GHz",,,,
tgs-taboo,Taboo Card Game (French Edition),"<p>Taboo, the fast-talking, forbidden-words party card game (French-language edition). Get your team to guess the word on the card without saying any of the taboo words listed. For ages 16 and up.</p><ul><li>Fast-talking party card game</li><li>Guess the word without saying taboo words</li><li>French-language edition</li><li>For ages 16 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Deck of Taboo cards</li><li>Timer</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-TABOO,,shopify,3,deny,manual,3000.00,,TRUE,TRUE,output_pending/TGS-TABOO/angle2.jpg,1,Taboo Card Game (French Edition),FALSE,Taboo Card Game in Pakistan | Toy Gift Shop,"Taboo fast-talking party card game, French edition. Ages 16+.",draft
tgs-taboo,,,,,,,,,,,,,,,,,,,,output_pending/TGS-TABOO/angle3.jpg,2,Taboo Card Game (French Edition),,,,
tgs-taboo,,,,,,,,,,,,,,,,,,,,output_pending/TGS-TABOO/front.jpg,3,Taboo Card Game (French Edition),,,,
tgs-tambola-housie,"Tambola Housie Deluxe Edition, 300 Tickets","<p>Tambola Housie Deluxe Edition, the classic number-calling bingo-style family game. Includes a checking board, 90 permanent plastic numbers, 6 pencil colours and 300 perforated tickets. For family entertainment.</p><ul><li>1 checking board</li><li>90 permanent plastic numbers</li><li>6 different pencil colours</li><li>300 perforated tickets</li><li>1 rule sheet included</li></ul><p><strong>What's included:</strong></p><ul><li>1 checking board</li><li>90 permanent plastic numbers</li><li>6 different pencil colours</li><li>300 perforated tickets</li><li>1 rule sheet</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-TAMBOLA-HOUSIE,,shopify,3,deny,manual,2850.00,,TRUE,TRUE,output_pending/TGS-TAMBOLA-HOUSIE/angle2.jpg,1,"Tambola Housie Deluxe Edition, 300 Tickets",FALSE,Tambola Housie Deluxe Edition in Pakistan | Toy Gift Shop,"Tambola Housie Deluxe Edition with 300 tickets, checking board and plastic numbers. Family fun.",draft
tgs-tambola-housie,,,,,,,,,,,,,,,,,,,,output_pending/TGS-TAMBOLA-HOUSIE/front.jpg,2,"Tambola Housie Deluxe Edition, 300 Tickets",,,,
tgs-unicorn-princess-makeup,Unicorn Princess 2-in-1 Beauty Make Up Case,"<p>A glitter makeup case with a &#x27;Princess Unicorn&#x27; design, combining a toy makeup set and jewellery box in one carry case with a handle. It opens to reveal a mirror, brushes and a colourful toy makeup and nail palette. Available in pink and purple glitter -- same case line as the Mermaid version, different character artwork. For ages 3 and up.</p><ul><li>2-in-1 makeup and jewellery case</li><li>Glitter exterior with Princess Unicorn design</li><li>Mirror and toy brushes included</li><li>Toy nail polish and lip gloss pieces</li><li>For ages 3 and up</li></ul><p><strong>What's included:</strong></p><ul><li>Makeup case with Princess Unicorn design</li><li>Mirror inside lid</li><li>2 toy brushes</li><li>3 toy nail polish/star pieces</li><li>1 eyeshadow palette</li><li>Toe separators</li><li>3 lip gloss pieces</li></ul>",The Toy Gift Shop,,Pretend Play & Role Play,"age:3-5, feature:new, occasion:birthday, occasion:eid, play:pretend, sub:Makeup Sets",FALSE,Title,Default Title,TGS-UNICORN-PRINCESS-MAKEUP,,shopify,3,deny,manual,3250.00,,TRUE,TRUE,output_pending/TGS-UNICORN-PRINCESS-MAKEUP/angle2.jpg,1,Unicorn Princess 2-in-1 Beauty Make Up Case,FALSE,Unicorn Princess 2-in-1 Beauty Makeup Case in Pakistan | Toy Gift Shop,Unicorn Princess 2-in-1 beauty makeup and jewellery case with mirror and brushes. Pink or purple glitter. Ages 3+.,draft
tgs-unicorn-princess-makeup,,,,,,,,,,,,,,,,,,,,output_pending/TGS-UNICORN-PRINCESS-MAKEUP/front.jpg,2,Unicorn Princess 2-in-1 Beauty Make Up Case,,,,
tgs-uno-attack,UNO Attack! Electronic Card Shooter Game,"<p>UNO Attack! is an electronic, random, rapid-fire card shooter edition of UNO. Press the button and the shooter randomly launches 1 to 5 cards into your hand. Includes special command cards. For ages 7 and up.</p><ul><li>Electronic random rapid-fire card shooter</li><li>Launches 1 to 5 cards per press</li><li>Includes special command cards</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 electronic card shooter</li><li>Deck of UNO Attack cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-UNO-ATTACK,,shopify,3,deny,manual,5550.00,,TRUE,TRUE,output_pending/TGS-UNO-ATTACK/angle2.jpg,1,UNO Attack! Electronic Card Shooter Game,FALSE,UNO Attack Card Shooter Game in Pakistan | Toy Gift Shop,UNO Attack! electronic random card shooter game. Fast family fun. Ages 7+.,draft
tgs-uno-attack,,,,,,,,,,,,,,,,,,,,output_pending/TGS-UNO-ATTACK/angle3.jpg,2,UNO Attack! Electronic Card Shooter Game,,,,
tgs-uno-attack,,,,,,,,,,,,,,,,,,,,output_pending/TGS-UNO-ATTACK/angle4.jpg,3,UNO Attack! Electronic Card Shooter Game,,,,
tgs-uno-classic,UNO Classic Card Game,"<p>The original UNO card game. Match colours and numbers, play action cards like Skip, Reverse and Draw Two, and be the first to empty your hand. For ages 7 and up.</p><ul><li>Classic UNO matching gameplay</li><li>Action cards: Skip, Reverse, Draw Two</li><li>For 2 to 10 players</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 deck of UNO cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-UNO-CLASSIC,,shopify,1,deny,manual,1100.00,,TRUE,TRUE,output_pending/TGS-UNO-CLASSIC/angle2.jpg,1,UNO Classic Card Game,FALSE,UNO Classic Card Game in Pakistan | Toy Gift Shop,"UNO Classic card game -- match colours and numbers, play action cards. Ages 7+.",draft
tgs-uno-classic,,,,,,,,,,,,,,,,,,,,output_pending/TGS-UNO-CLASSIC/angle3.jpg,2,UNO Classic Card Game,,,,
tgs-uno-classic,,,,,,,,,,,,,,,,,,,,output_pending/TGS-UNO-CLASSIC/front.jpg,3,UNO Classic Card Game,,,,
tgs-uno-no-mercy,UNO Show 'Em No Mercy Card Game,"<p>UNO Show &#x27;Em No Mercy is a brutal, ruthless, unforgiving edition of UNO with harsher action cards and new twists on the classic matching gameplay. For ages 7 and up.</p><ul><li>Brutal twist on classic UNO gameplay</li><li>New and harsher action cards</li><li>Match colours and numbers to win</li><li>For ages 7 and up</li></ul><p><strong>What's included:</strong></p><ul><li>1 deck of UNO Show &#x27;Em No Mercy cards</li><li>Instructions</li></ul>",The Toy Gift Shop,,Board Games,"age:5-8, feature:new, occasion:birthday, occasion:eid, play:games, sub:Family Board Games",FALSE,Title,Default Title,TGS-UNO-NO-MERCY,,shopify,1,deny,manual,890.00,,TRUE,TRUE,output_pending/TGS-UNO-NO-MERCY/angle2.jpg,1,UNO Show 'Em No Mercy Card Game,FALSE,UNO Show 'Em No Mercy Card Game in Pakistan | Toy Gift Shop,"UNO Show 'Em No Mercy -- a brutal, ruthless, unforgiving edition of UNO. Ages 7+.",draft
